id_hecho,nro_victimas,fecha,hora,tipo_calle,comuna,longitud,latitud,victima,acusado,rol,sexo,edad,gravedad,dia_semana
2016-0001,1,2016-01-01,4,avenida,8,-58.47533969,-34.68757022,moto,auto,conductor,masculino,19,fatal,Friday
2016-0003,1,2016-01-03,7,avenida,1,-58.39040293,-34.63189362,moto,auto,conductor,masculino,30,fatal,Sunday
2016-0004,1,2016-01-10,0,avenida,8,-58.46503904,-34.68092974,moto,,conductor,masculino,18,fatal,Sunday
2016-0005,1,2016-01-21,5,avenida,1,-58.38718297,-34.6224663,moto,pasajeros,conductor,masculino,29,fatal,Thursday
2016-0008,1,2016-01-24,18,avenida,8,-58.44451316,-34.68475866,moto,objeto fijo,conductor,masculino,30,fatal,Sunday
2016-0009,1,2016-01-24,19,calle,11,-58.50095869,-34.6082544,moto,auto,pasajero_acompañante,masculino,29,fatal,Sunday
2016-0010,1,2016-01-29,15,gral paz,9,-58.50877521,-34.66977709,moto,auto,conductor,masculino,18,fatal,Friday
2016-0012,1,2016-02-08,1,avenida,1,-58.38048577,-34.61303893,moto,cargas,conductor,masculino,22,fatal,Monday
2016-0016,1,2016-02-14,22,avenida,4,-58.36882665,-34.64291993,moto,auto,pasajero_acompañante,femenino,19,fatal,Sunday
2016-0017,1,2016-02-15,16,avenida,8,-58.44989671,-34.65970435,peaton,moto,peaton,masculino,59,fatal,Monday
2016-0022,1,2016-02-21,6,avenida,1,-58.38144696,-34.61079875,moto,auto,pasajero_acompañante,masculino,41,fatal,Sunday
2016-0031,1,2016-03-08,12,gral paz,8,-58.47064556,-34.69843756,moto,pasajeros,conductor,masculino,21,fatal,Tuesday
2016-0035,1,2016-03-13,6,avenida,3,-58.39228965,-34.60443527,moto,pasajeros,conductor,masculino,34,fatal,Sunday
2016-0036,1,2016-03-14,0,calle,4,-58.37813396,-34.63668504,moto,pasajeros,pasajero_acompañante,masculino,36,fatal,Monday
2016-0037,1,2016-03-19,11,avenida,7,-58.46275892,-34.64358293,moto,moto,conductor,masculino,20,fatal,Saturday
2016-0039,1,2016-03-23,1,avenida,3,-58.40603217,-34.6088396,moto,pasajeros,conductor,masculino,20,fatal,Wednesday
2016-0041,2,2016-03-29,11,avenida,7,-58.4607655,-34.63350444,moto,cargas,conductor,masculino,54,fatal,Tuesday
2016-0041,2,2016-03-29,11,avenida,7,-58.4607655,-34.63350444,moto,cargas,pasajero_acompañante,masculino,,fatal,Tuesday
2016-0044,1,2016-03-31,19,avenida,7,-58.43213235,-34.63693953,moto,multiple,conductor,masculino,24,fatal,Thursday
2016-0045,1,2016-04-11,10,gral paz,13,-58.46743471,-34.53476874,moto,,conductor,masculino,,fatal,Monday
2016-0051,1,2016-04-20,4,avenida,4,-58.40623949,-34.65076549,moto,cargas,conductor,masculino,36,fatal,Wednesday
2016-0052,1,2016-04-20,20,autopista,13,-58.46743471,-34.53476874,moto,,,,,fatal,Wednesday
2016-0054,1,2016-04-23,21,autopista,8,-58.48695354,-34.68795245,moto,moto,conductor,masculino,30,fatal,Saturday
2016-0056,1,2016-04-26,4,avenida,14,-58.42957885,-34.57660058,moto,objeto fijo,conductor,masculino,26,fatal,Tuesday
2016-0058,1,2016-05-04,14,calle,1,-58.38247542,-34.62556293,peaton,moto,peaton,femenino,57,fatal,Wednesday
2016-0067,1,2016-05-21,17,avenida,8,-58.48455411,-34.6751276,moto,pasajeros,pasajero_acompañante,femenino,30,fatal,Saturday
2016-0068,1,2016-05-22,22,avenida,2,-58.39056593,-34.58418569,moto,pasajeros,conductor,masculino,58,fatal,Sunday
2016-0073,1,2016-06-11,15,calle,10,-58.49021952,-34.62025108,moto,cargas,conductor,masculino,23,fatal,Saturday
2016-0078,1,2016-06-13,23,avenida,3,-58.40491455,-34.6146383,moto,moto,conductor,masculino,30,fatal,Monday
2016-0081,1,2016-06-22,7,avenida,12,-58.4872106,-34.55904606,moto,auto,conductor,masculino,40,fatal,Wednesday
2016-0083,1,2016-06-28,20,avenida,6,-58.44788671,-34.62539009,peaton,moto,peaton,femenino,76,fatal,Tuesday
2016-0085,1,2016-06-29,22,avenida,4,-58.42378834,-34.657341,moto,otro,,masculino,,fatal,Wednesday
2016-0087,1,2016-07-02,0,autopista,1,-58.37864583,-34.62907067,moto,objeto fijo,conductor,masculino,23,fatal,Saturday
2016-0092,1,2016-07-15,11,gral paz,13,-58.46743471,-34.53476874,moto,cargas,conductor,masculino,24,fatal,Friday
2016-0095,1,2016-07-23,6,avenida,11,-58.51713095,-34.59546519,moto,auto,conductor,masculino,29,fatal,Saturday
2016-0096,1,2016-07-25,7,autopista,8,-58.47433193007387,-34.66684950051973,moto,cargas,conductor,masculino,,fatal,Monday
2016-0098,1,2016-07-27,16,avenida,3,-58.40042405,-34.62356174,moto,cargas,conductor,femenino,43,fatal,Wednesday
2016-0100,1,2016-08-03,23,gral paz,12,-58.49491054,-34.54795581,moto,objeto fijo,conductor,masculino,57,fatal,Wednesday
2016-0102,1,2016-08-10,23,avenida,9,-58.50011639,-34.67316502,moto,cargas,conductor,masculino,29,fatal,Wednesday
2016-0104,1,2016-08-14,21,avenida,9,-58.46635001,-34.65624369,moto,pasajeros,conductor,masculino,21,fatal,Sunday
2016-0107,1,2016-08-20,8,autopista,4,-58.37157668,-34.65429986,moto,auto,conductor,masculino,21,fatal,Saturday
2016-0111,1,2016-08-25,9,autopista,15,-58.47461905,-34.57663634,moto,cargas,conductor,masculino,27,fatal,Thursday
2016-0112,1,2016-08-27,4,autopista,1,-58.38268809,-34.62282019,moto,objeto fijo,conductor,masculino,24,fatal,Saturday
2016-0116,1,2016-09-02,20,avenida,8,-58.44451316,-34.68475866,moto,auto,conductor,masculino,30,fatal,Friday
2016-0123,1,2016-09-14,9,avenida,7,-58.45130953,-34.64053676,moto,auto,conductor,femenino,58,fatal,Wednesday
2016-0125,1,2016-09-17,12,autopista,10,-58.49020869,-34.64243791,moto,moto,conductor,masculino,30,fatal,Saturday
2016-0130,1,2016-10-04,12,autopista,1,-58.37910942,-34.62764717,moto,cargas,conductor,masculino,29,fatal,Tuesday
2016-0133,1,2016-10-14,0,avenida,14,-58.40204698,-34.5834269,moto,auto,conductor,masculino,41,fatal,Friday
2016-0134,1,2016-10-23,5,avenida,8,-58.48935287,-34.67648597,moto,objeto fijo,conductor,masculino,25,fatal,Sunday
2016-0136,1,2016-10-25,0,autopista,4,-58.36882665,-34.64291993,moto,cargas,conductor,,,fatal,Tuesday
2016-0137,1,2016-10-25,0,avenida,11,-58.51537091,-34.59035925,moto,moto,conductor,masculino,30,fatal,Tuesday
2016-0139,1,2016-10-28,23,avenida,14,-58.42008769,-34.56539579,moto,moto,pasajero_acompañante,femenino,35,fatal,Friday
2016-0142,1,2016-11-05,23,avenida,1,-58.37533517,-34.59276462,moto,pasajeros,conductor,masculino,46,fatal,Saturday
2016-0143,1,2016-11-06,4,avenida,8,-58.44451316,-34.68475866,moto,,conductor,masculino,35,fatal,Sunday
2016-0145,1,2016-11-07,20,avenida,13,-58.44523595,-34.55953855,moto,auto,conductor,masculino,39,fatal,Monday
2016-0148,1,2016-11-16,22,avenida,15,-58.46536113,-34.59484504,moto,moto,conductor,masculino,,fatal,Wednesday
2016-0152,1,2016-11-23,21,avenida,7,-58.46451841,-34.64991946,moto,auto,conductor,masculino,42,fatal,Wednesday
2016-0153,1,2016-11-25,15,avenida,15,-58.4291709,-34.59485488,peaton,moto,peaton,femenino,83,fatal,Friday
2016-0154,1,2016-11-26,14,gral paz,8,-58.49007772,-34.68251141,moto,moto,conductor,masculino,38,fatal,Saturday
2016-0156,1,2016-11-26,19,avenida,3,-58.40638983,-34.61943202,moto,pasajeros,conductor,masculino,23,fatal,Saturday
2016-0157,1,2016-12-03,6,avenida,11,-58.47576807,-34.61740997,moto,moto,conductor,masculino,23,fatal,Saturday
2016-0163,1,2016-12-10,7,gral paz,11,-58.52340614,-34.59798754,moto,auto,conductor,masculino,23,fatal,Saturday
2016-0168,1,2016-12-13,10,avenida,4,-58.42323628,-34.64119105,moto,auto,conductor,masculino,43,fatal,Tuesday
2016-0169,1,2016-12-15,15,avenida,12,-58.47935434,-34.55676497,moto,pasajeros,conductor,masculino,24,fatal,Thursday
2016-0170,1,2016-12-19,17,gral paz,12,-58.50598256,-34.5637998,moto,auto,pasajero_acompañante,masculino,21,fatal,Monday
2016-0171,1,2016-12-25,19,autopista,1,-58.36607137,-34.62150748,moto,moto,conductor,,,fatal,Sunday
2016-0172,1,2016-12-26,8,avenida,5,-58.41918902,-34.63174259,moto,cargas,conductor,masculino,38,fatal,Monday
2016-0173,1,2016-12-26,19,avenida,7,-58.46749188,-34.63551751,moto,cargas,conductor,masculino,35,fatal,Monday
2016-0176,1,2016-12-28,1,avenida,1,-58.36956186,-34.61232875,moto,pasajeros,conductor,masculino,28,fatal,Wednesday
2017-0001,1,2017-01-02,1,avenida,11,-58.4659423,-34.61028571,moto,cargas,conductor,masculino,18,fatal,Monday
2017-0008,1,2017-01-16,0,calle,14,-58.43917004,-34.58494351,moto,pasajeros,conductor,masculino,29,fatal,Monday
2017-0009,1,2017-01-16,13,autopista,5,-58.41595919,-34.62743346,moto,cargas,conductor,masculino,36,fatal,Monday
2017-0010,1,2017-01-16,16,avenida,6,-58.4356488,-34.62828656,moto,auto,conductor,masculino,23,fatal,Monday
2017-0011,1,2017-01-22,2,gral paz,12,-58.5007381,-34.5497951,moto,objeto fijo,pasajero_acompañante,femenino,29,fatal,Sunday
2017-0012,1,2017-01-24,14,calle,4,-58.40969005,-34.6505529,moto,cargas,conductor,masculino,30,fatal,Tuesday
2017-0014,1,2017-01-28,8,avenida,12,-58.49185972,-34.55046754,moto,multiple,pasajero_acompañante,femenino,22,fatal,Saturday
2017-0016,1,2017-02-03,5,autopista,1,-58.38099494,-34.62288231,moto,cargas,conductor,masculino,27,fatal,Friday
2017-0017,1,2017-02-06,8,avenida,14,-58.429012,-34.58095431,moto,auto,conductor,masculino,32,fatal,Monday
2017-0018,1,2017-02-09,7,gral paz,9,-58.50877521,-34.66977709,moto,auto,conductor,masculino,30,fatal,Thursday
2017-0021,1,2017-02-18,5,calle,1,-58.38362373,-34.60509972,moto,pasajeros,conductor,masculino,43,fatal,Saturday
2017-0025,1,2017-02-24,17,avenida,7,-58.43614426,-34.6542464,moto,,conductor,masculino,23,fatal,Friday
2017-0036,2,2017-03-29,18,gral paz,12,-58.51452347,-34.58159762,moto,pasajeros,pasajero_acompañante,femenino,,fatal,Wednesday
2017-0036,2,2017-03-29,18,gral paz,12,-58.51452347,-34.58159762,moto,pasajeros,conductor,masculino,20,fatal,Wednesday
2017-0037,1,2017-03-31,3,avenida,1,-58.38896772,-34.61799615,moto,cargas,conductor,masculino,41,fatal,Friday
2017-0038,1,2017-04-01,19,avenida,7,-58.44516857,-34.64363363,moto,auto,conductor,femenino,40,fatal,Saturday
2017-0041,1,2017-04-03,23,calle,7,-58.45485084,-34.63531854,moto,auto,conductor,masculino,17,fatal,Monday
2017-0042,1,2017-04-10,9,gral paz,14,-58.40021959,-34.57964781,moto,cargas,conductor,masculino,,fatal,Monday
2017-0045,1,2017-04-14,6,calle,10,-58.52449285,-34.62454175,moto,objeto fijo,conductor,masculino,21,fatal,Friday
2017-0047,1,2017-04-23,6,avenida,8,-58.46713742,-34.6719879,moto,auto,conductor,masculino,37,fatal,Sunday
2017-0050,2,2017-04-28,11,autopista,9,-58.50877521,-34.66977709,moto,cargas,conductor,masculino,46,fatal,Friday
2017-0050,2,2017-04-28,11,autopista,9,-58.50877521,-34.66977709,moto,cargas,pasajero_acompañante,masculino,16,fatal,Friday
2017-0053,1,2017-05-05,20,calle,4,-58.37547846,-34.65326075,moto,cargas,conductor,masculino,28,fatal,Friday
2017-0054,1,2017-05-07,21,avenida,15,-58.48680218,-34.58689719,moto,auto,pasajero_acompañante,femenino,20,fatal,Sunday
2017-0058,1,2017-05-09,23,avenida,1,-58.38403232,-34.5991594,peaton,moto,peaton,masculino,80,fatal,Tuesday
2017-0060,1,2017-05-13,7,avenida,8,-58.45966521,-34.67323292,moto,objeto fijo,pasajero_acompañante,masculino,30,fatal,Saturday
2017-0061,1,2017-05-15,13,avenida,2,-58.39303911,-34.59871111,peaton,moto,peaton,masculino,47,fatal,Monday
2017-0062,1,2017-05-15,16,avenida,10,-58.51262106,-34.63395999,moto,cargas,conductor,masculino,35,fatal,Monday
2017-0067,1,2017-05-23,2,avenida,6,-58.4338197,-34.62801894,moto,cargas,conductor,masculino,21,fatal,Tuesday
2017-0068,1,2017-05-27,19,avenida,8,-58.43580656,-34.66437532,moto,objeto fijo,conductor,masculino,32,fatal,Saturday
2017-0069,1,2017-05-24,14,gral paz,9,-58.52173071,-34.65997463,moto,,conductor,masculino,39,fatal,Wednesday
2017-0073,1,2017-06-04,9,avenida,3,-58.40781467,-34.60425669,moto,auto,conductor,masculino,19,fatal,Sunday
2017-0075,1,2017-06-12,22,avenida,1,-58.381542,-34.60906385,peaton,moto,peaton,masculino,55,fatal,Monday
2017-0077,1,2017-06-17,23,calle,14,-58.42934104,-34.58451712,moto,cargas,conductor,femenino,60,fatal,Saturday
2017-0079,1,2017-06-19,16,calle,3,-58.40657493,-34.61781124,moto,cargas,conductor,masculino,33,fatal,Monday
2017-0083,1,2017-07-04,0,avenida,9,-58.49603546,-34.64564271,moto,cargas,conductor,masculino,37,fatal,Tuesday
2017-0086,1,2017-07-09,7,avenida,9,-58.51876802,-34.63905965,peaton,moto,peaton,femenino,30,fatal,Sunday
2017-0091,1,2017-07-15,13,gral paz,12,-58.48671535,-34.54321216,moto,,conductor,masculino,58,fatal,Saturday
2017-0095,1,2017-08-06,8,avenida,14,-58.41894306,-34.59778875,moto,auto,conductor,masculino,36,fatal,Sunday
2017-0100,1,2017-08-21,7,calle,3,-58.3967447,-34.61512051,moto,objeto fijo,pasajero_acompañante,femenino,16,fatal,Monday
2017-0107,1,2017-09-01,11,avenida,13,-58.46062311,-34.54395182,moto,cargas,conductor,masculino,41,fatal,Friday
2017-0109,1,2017-09-04,21,avenida,7,-58.47130269,-34.63665402,moto,auto,conductor,masculino,21,fatal,Monday
2017-0115,1,2017-09-19,18,avenida,5,-58.42182126,-34.63089661,moto,bicicleta,conductor,masculino,34,fatal,Tuesday
2017-0116,1,2017-09-20,22,gral paz,12,-58.51389422,-34.58075791,moto,objeto fijo,conductor,masculino,22,fatal,Wednesday
2017-0118,1,2017-09-22,7,avenida,4,-58.37585415,-34.65232158,moto,auto,pasajero_acompañante,femenino,26,fatal,Friday
2017-0120,1,2017-10-02,15,autopista,9,-58.47297505,-34.66245085,moto,cargas,conductor,masculino,20,fatal,Monday
2017-0124,1,2017-10-12,14,calle,15,-58.44254033,-34.59185043,moto,pasajeros,conductor,masculino,51,fatal,Thursday
2017-0125,1,2017-10-13,6,avenida,8,-58.46622247,-34.67926929,moto,objeto fijo,conductor,masculino,29,fatal,Friday
2017-0127,1,2017-10-16,7,avenida,2,-58.41192137,-34.59800248,moto,moto,pasajero_acompañante,masculino,24,fatal,Monday
2017-0129,1,2017-10-26,19,autopista,9,-58.47155277,-34.64925746,moto,pasajeros,conductor,masculino,57,fatal,Thursday
2017-0132,1,2017-10-30,14,avenida,8,-58.46552171,-34.6937413,moto,pasajeros,conductor,masculino,23,fatal,Monday
2017-0135,1,2017-11-07,12,avenida,15,-58.47032551,-34.59626814,moto,cargas,conductor,masculino,24,fatal,Tuesday
2017-0138,1,2017-11-19,10,avenida,7,-58.46258582,-34.64385704,moto,objeto fijo,pasajero_acompañante,masculino,25,fatal,Sunday
2017-0140,1,2017-11-19,23,autopista,4,-58.36882665,-34.64291993,moto,pasajeros,conductor,masculino,24,fatal,Sunday
2017-0145,1,2017-11-26,17,calle,5,-58.41677733,-34.61223119,moto,auto,conductor,masculino,58,fatal,Sunday
2017-0147,1,2017-11-28,11,gral paz,9,-58.5025179,-34.67450313,moto,auto,conductor,masculino,49,fatal,Tuesday
2017-0153,2,2017-12-11,2,avenida,6,-58.42855267,-34.61829385,moto,pasajeros,pasajero_acompañante,masculino,,fatal,Monday
2017-0153,2,2017-12-11,2,avenida,6,-58.42855267,-34.61829385,moto,pasajeros,conductor,masculino,30,fatal,Monday
2017-0155,1,2017-12-12,21,avenida,7,-58.45593915,-34.62656868,,moto,,masculino,77,fatal,Tuesday
2017-0158,1,2017-12-18,21,gral paz,11,-58.52037476,-34.59407024,moto,auto,conductor,masculino,32,fatal,Monday
2017-0159,1,2017-12-20,4,avenida,1,-58.38896772,-34.61799615,moto,auto,conductor,masculino,27,fatal,Wednesday
2017-0160,1,2017-12-22,13,avenida,7,-58.47074114,-34.62771756,peaton,moto,peaton,femenino,30,fatal,Friday
2018-0001,1,2018-01-01,22,avenida,3,-58.39536773,-34.62297346,peaton,moto,peaton,masculino,83,fatal,Monday
2018-0004,1,2018-01-09,9,avenida,13,-58.46129513,-34.54332766,moto,multiple,conductor,masculino,39,fatal,Tuesday
2018-0008,1,2018-01-12,17,avenida,1,-58.36659655,-34.61687778,moto,cargas,conductor,femenino,32,fatal,Friday
2018-0009,1,2018-01-14,2,avenida,4,-58.36737389,-34.62763661,moto,moto,conductor,masculino,19,fatal,Sunday
2018-0010,1,2018-01-18,5,calle,10,-58.49807953,-34.63038658,moto,cargas,conductor,masculino,40,fatal,Thursday
2018-0012,1,2018-01-26,13,calle,8,-58.46912006,-34.68049201,moto,pasajeros,conductor,masculino,20,fatal,Friday
2018-0013,1,2018-01-28,8,avenida,12,-58.48661286,-34.56786129,moto,auto,conductor,masculino,44,fatal,Sunday
2018-0014,1,2018-01-31,20,avenida,7,-58.44074927,-34.65080597,peaton,moto,peaton,masculino,,fatal,Wednesday
2018-0015,2,2018-02-06,1,avenida,4,-58.38636298,-34.64684275,moto,pasajeros,conductor,masculino,28,fatal,Tuesday
2018-0015,2,2018-02-06,1,avenida,4,-58.38636298,-34.64684275,moto,pasajeros,pasajero_acompañante,masculino,19,fatal,Tuesday
2018-0016,1,2018-02-15,10,avenida,1,-58.37533517,-34.59276462,moto,cargas,conductor,masculino,31,fatal,Thursday
2018-0018,1,2018-02-17,7,calle,4,-58.37207554,-34.64543658,moto,cargas,conductor,masculino,26,fatal,Saturday
2018-0020,1,2018-02-19,22,autopista,8,-58.45012957,-34.66518343,moto,cargas,conductor,masculino,26,fatal,Monday
2018-0022,1,2018-02-24,0,avenida,4,-58.37441153,-34.63966783,moto,cargas,conductor,masculino,28,fatal,Saturday
2018-0023,1,2018-02-24,6,calle,6,-58.44110156,-34.62082399,moto,auto,conductor,masculino,28,fatal,Saturday
2018-0027,1,2018-03-11,23,calle,5,-58.41911301,-34.63722107,peaton,moto,peaton,femenino,74,fatal,Sunday
2018-0029,1,2018-03-15,18,avenida,11,-58.47418944,-34.62049672,moto,auto,conductor,masculino,26,fatal,Thursday
2018-0030,1,2018-03-20,1,avenida,15,-58.46720441,-34.57905579,moto,moto,conductor,masculino,24,fatal,Tuesday
2018-0031,1,2018-03-28,10,avenida,11,-58.46909362,-34.6177971,moto,cargas,conductor,masculino,31,fatal,Wednesday
2018-0033,1,2018-04-07,7,avenida,10,-58.50535541,-34.62902048,moto,cargas,conductor,femenino,42,fatal,Saturday
2018-0036,1,2018-04-13,23,avenida,15,-58.49471482,-34.59694755,moto,auto,conductor,masculino,37,fatal,Friday
2018-0042,1,2018-04-27,18,calle,4,-58.38666024,-34.63953396,moto,cargas,pasajero_acompañante,masculino,23,fatal,Friday
2018-0043,1,2018-04-28,6,avenida,11,-58.49122843,-34.61207587,moto,auto,conductor,masculino,25,fatal,Saturday
2018-0053,1,2018-05-20,2,calle,3,-58.4105928,-34.5993918,moto,auto,conductor,masculino,43,fatal,Sunday
2018-0055,1,2018-05-29,7,avenida,3,-58.40351561,-34.61883916,moto,auto,conductor,masculino,21,fatal,Tuesday
2018-0057,1,2018-06-03,3,calle,3,-58.39311376,-34.62163006,moto,pasajeros,conductor,masculino,33,fatal,Sunday
2018-0058,1,2018-06-03,6,avenida,15,-58.43531242,-34.59082159,moto,auto,conductor,masculino,26,fatal,Sunday
2018-0059,1,2018-06-08,6,avenida,5,-58.41178165,-34.63035454,moto,otro,conductor,masculino,54,fatal,Friday
2018-0061,1,2018-06-10,11,calle,3,-58.39883882,-34.61964833,moto,moto,conductor,masculino,51,fatal,Sunday
2018-0065,1,2018-06-26,17,calle,1,-58.38161909,-34.59283447,moto,cargas,conductor,masculino,35,fatal,Tuesday
2018-0068,1,2018-07-01,9,avenida,7,-58.45546217,-34.62930339,moto,auto,conductor,masculino,21,fatal,Sunday
2018-0070,1,2018-07-07,15,calle,3,-58.40917826,-34.62126274,moto,pasajeros,conductor,masculino,33,fatal,Saturday
2018-0071,1,2018-07-10,17,avenida,1,-58.36726348,-34.61099738,moto,cargas,conductor,masculino,,fatal,Tuesday
2018-0072,1,2018-07-11,13,autopista,8,-58.48267426,-34.68454456,moto,cargas,conductor,masculino,27,fatal,Wednesday
2018-0082,1,2018-08-01,15,avenida,9,-58.49441273,-34.65869968,moto,cargas,conductor,femenino,17,fatal,Wednesday
2018-0083,1,2018-08-02,5,gral paz,8,-58.47976785,-34.69153196,moto,cargas,conductor,masculino,,fatal,Thursday
